Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,84.910004,86.089996,81.900002,83.309998,83.309998,511695
2022-01-25,84.150002,85.709999,82.989998,85.599998,85.599998,507219
2022-01-26,85.260002,87.949997,85.010002,87.349998,87.349998,459642
2022-01-27,87.150002,88.540001,86.199997,86.610001,86.610001,427804
2022-01-28,87.500000,88.839996,86.440002,86.820000,86.820000,436172
2022-01-31,87.449997,88.389999,86.339996,88.150002,88.150002,359080
2022-02-01,88.150002,88.870003,86.550003,88.199997,88.199997,376841
2022-02-02,88.349998,89.720001,87.099998,88.260002,88.260002,456863
2022-02-03,87.980003,90.449997,86.750000,90.269997,90.269997,465771
2022-02-04,90.190002,93.169998,90.070000,92.309998,92.309998,410926
2022-02-07,91.820000,92.730003,90.730003,91.320000,91.320000,497754
2022-02-08,91.639999,91.680000,88.510002,89.360001,89.360001,467386
2022-02-09,89.860001,90.580002,88.410004,89.660004,89.660004,445618
2022-02-10,90.010002,91.739998,89.029999,89.879997,89.879997,492091
2022-02-11,90.000000,94.660004,89.190002,93.099998,93.099998,554423
2022-02-14,93.910004,95.820000,92.089996,95.459999,95.459999,467071
2022-02-15,94.830002,95.169998,90.660004,92.070000,92.070000,442641
2022-02-16,92.209999,95.010002,90.000000,93.660004,93.660004,401453
2022-02-17,90.900002,93.360001,90.620003,91.760002,91.760002,212552
2022-02-18,91.629997,92.660004,89.029999,91.070000,91.070000,150382
2022-02-22,91.750000,96.000000,90.349998,92.349998,92.349998,789041
2022-02-23,91.739998,93.900002,90.639999,92.099998,92.099998,440574
2022-02-24,92.519997,100.540001,91.449997,92.809998,92.809998,872244
2022-02-25,93.320000,95.639999,90.059998,91.589996,91.589996,523793
2022-02-28,94.989998,99.099998,94.430000,95.720001,95.720001,490796
2022-03-01,96.089996,106.779999,95.320000,103.410004,103.410004,698814
2022-03-02,107.120003,112.510002,105.180000,110.599998,110.599998,651853
2022-03-03,111.330002,116.570000,106.430000,107.669998,107.669998,592031
2022-03-04,107.959999,116.019997,107.250000,115.680000,115.680000,493875
2022-03-07,121.330002,130.500000,115.540001,119.400002,119.400002,576022
2022-03-08,120.669998,129.440002,117.070000,123.699997,123.699997,583106
2022-03-09,124.660004,126.839996,103.629997,108.699997,108.699997,594773
2022-03-10,110.410004,114.879997,105.529999,106.019997,106.019997,437924
2022-03-11,105.989998,110.290001,104.480003,109.330002,109.330002,368194
2022-03-14,109.419998,109.720001,99.760002,103.010002,103.010002,344184
2022-03-15,102.279999,102.580002,93.529999,96.440002,96.440002,401690
2022-03-16,95.230003,99.220001,94.070000,95.040001,95.040001,293947
2022-03-17,95.339996,104.239998,94.849998,102.980003,102.980003,210763
2022-03-18,103.620003,106.279999,102.300003,104.699997,104.699997,74247
2022-03-21,105.129997,112.690002,104.080002,112.120003,112.120003,77217
2022-03-22,112.900002,115.010002,109.300003,111.760002,111.760002,318629
2022-03-23,108.849998,115.400002,108.379997,114.930000,114.930000,289182
2022-03-24,114.470001,116.639999,110.610001,112.339996,112.339996,307238
2022-03-25,111.750000,114.120003,108.680000,113.900002,113.900002,320304
2022-03-28,112.919998,112.930000,102.830002,105.959999,105.959999,372251
2022-03-29,103.470001,107.839996,98.440002,104.239998,104.239998,387200
2022-03-30,105.239998,108.750000,104.550003,107.820000,107.820000,284544
2022-03-31,107.449997,107.800003,99.660004,100.279999,100.279999,450845
2022-04-01,101.230003,101.750000,97.779999,99.269997,99.269997,324777
2022-04-04,98.949997,103.940002,98.050003,103.279999,103.279999,288131
2022-04-05,103.660004,105.589996,99.879997,101.959999,101.959999,280283
2022-04-06,101.239998,104.019997,95.730003,96.230003,96.230003,366036
2022-04-07,97.160004,98.820000,93.809998,96.029999,96.029999,367318
2022-04-08,97.169998,98.760002,95.290001,98.260002,98.260002,310082
2022-04-11,98.400002,98.519997,92.930000,94.290001,94.290001,315873
2022-04-12,95.169998,101.349998,94.839996,100.599998,100.599998,329037
2022-04-13,100.910004,104.470001,99.870003,104.250000,104.250000,312502
2022-04-14,104.199997,107.639999,102.120003,106.949997,106.949997,244952
2022-04-18,107.029999,109.809998,106.000000,108.209999,108.209999,68489
2022-04-19,107.750000,108.919998,102.099998,102.559998,102.559998,71792
2022-04-20,103.050003,104.160004,100.699997,102.750000,102.750000,299028
2022-04-21,102.500000,105.419998,102.010002,103.790001,103.790001,280321
2022-04-22,104.070000,104.220001,101.059998,102.070000,102.070000,246116
2022-04-25,101.379997,101.550003,95.279999,98.540001,98.540001,328153
2022-04-26,98.639999,102.779999,97.059998,101.699997,101.699997,351850
2022-04-27,101.760002,102.989998,99.800003,102.019997,102.019997,278781
2022-04-28,102.110001,105.680000,100.129997,105.360001,105.360001,312064
2022-04-29,105.169998,107.989998,103.779999,104.690002,104.690002,294386
2022-05-02,104.000000,105.940002,100.279999,105.169998,105.169998,261878
2022-05-03,105.080002,105.800003,102.099998,102.410004,102.410004,239266
2022-05-04,103.500000,108.610001,102.949997,107.809998,107.809998,272909
2022-05-05,107.580002,111.370003,106.449997,108.260002,108.260002,286916
